,random,naive,mfr,recommender,recommender one-hot,popularity,popularity one-hot,tcn,tcn one-hot,des,des on-hot,Parrot 50
0,0,0,0,0,0,0,0,0,0,0,0,100
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,100
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,100,100,0,0,100
8,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,100
10,0,0,0,0,0,0,0,0,0,0,0,100
11,0,0,0,0,0,0,0,0,0,0,0,100
12,0,0,0,0,0,0,0,0,0,0,0,100
13,0,0,0,0,0,0,0,0,0,0,0,100
14,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,100,0,0,0,0,100
16,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,100
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,100,100,0,0,0
23,0,0,0,0,0,100,0,0,0,0,0,100
24,0,0,0,100,100,0,0,0,0,0,0,100
25,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,100
27,0,0,0,0,0,0,0,0,0,0,0,100
28,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,100
30,0,0,0,0,0,0,0,0,0,0,0,100
31,0,0,0,0,0,0,0,0,0,0,0,100
32,0,0,0,0,0,0,0,0,0,0,0,100
33,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,100
35,0,0,0,0,0,0,0,100,100,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,100
37,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,100
39,0,0,0,0,0,0,0,0,0,0,0,100
40,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,100
42,0,0,0,0,0,0,0,0,0,0,0,100
43,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,100
46,0,0,0,0,0,0,0,0,0,0,0,100
47,0,0,0,0,0,0,0,0,0,0,0,100
48,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,100,100,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,100
51,0,0,0,0,0,0,0,0,0,0,0,100
52,0,0,0,0,0,0,0,0,0,0,0,100
53,0,0,0,0,0,0,0,0,0,0,0,100
54,0,0,0,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,100
56,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,100
60,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,100
62,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,100
65,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,100,100,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,100
68,0,0,0,0,0,0,0,0,0,0,0,100
69,0,0,0,0,0,0,0,0,0,0,0,100
70,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,100
72,0,0,0,0,0,0,0,0,0,0,0,100
73,0,0,0,0,0,0,0,0,0,0,0,100
74,0,0,0,0,0,0,0,0,0,0,0,100
75,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,100,0,0,0,0,100,100,0,0,100
77,0,0,0,0,0,0,0,0,0,0,0,100
78,0,0,0,0,0,0,0,0,0,0,0,100
79,0,0,0,0,0,0,0,0,0,0,0,100
80,0,0,0,0,0,0,0,0,0,0,0,100
81,0,0,0,0,0,0,0,0,0,0,0,100
82,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,100
84,0,0,0,0,0,0,0,0,0,0,0,100
85,0,0,0,0,0,0,0,0,0,0,0,100
86,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,100
88,0,0,0,0,0,0,0,0,0,0,0,100
89,0,0,0,0,0,0,0,0,0,0,0,100
90,0,0,0,0,0,0,0,0,0,0,0,100
91,0,0,0,0,0,0,100,100,100,0,0,100
92,0,0,100,0,0,0,0,100,100,100,100,100
93,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,100,100,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,100
98,0,0,0,0,0,0,0,0,0,0,0,100
99,0,0,0,0,0,0,0,0,0,0,0,100
100,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,100
103,0,0,0,0,0,0,0,0,0,0,0,100
104,0,0,0,0,0,100,100,0,0,0,100,100
105,0,0,0,0,0,0,0,0,0,0,0,100
106,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,100
112,0,0,0,0,0,0,0,0,0,0,0,100
113,0,0,0,0,0,0,0,0,0,0,0,100
114,0,0,0,0,0,0,0,0,0,0,0,100
115,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,100
118,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,100
120,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,100,0,0,0,0,0,0,0,0,0
124,100,0,0,0,0,0,0,0,0,0,0,100
125,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,100
128,0,0,0,0,0,0,0,0,0,0,0,100
129,0,0,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0
135,0,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,100
140,0,0,0,0,0,0,0,0,0,0,0,100
141,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,100,100,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,100
144,0,0,0,100,100,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,100
146,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,100
149,0,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,100,100,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,100,100,0,0,100
154,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0,0,0,0,100
160,0,0,0,0,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,100
163,0,0,0,0,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,100
165,0,0,0,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,100
168,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,0,0,100,100,0,0,0,100,0
170,0,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0,0
172,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,100,100,0,0,0,0,0,0,100
174,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,100
184,0,0,0,0,0,0,0,0,0,0,0,100
185,0,0,0,0,0,0,0,0,0,0,0,100
186,0,0,0,0,0,0,0,100,100,0,0,100
187,0,0,0,0,0,0,0,100,100,0,0,0
188,0,0,0,100,100,0,0,0,0,0,0,100
189,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,100
191,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,100
193,0,0,0,0,0,0,0,0,0,0,0,0
194,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,100
196,0,0,0,0,0,0,0,0,0,0,0,100
197,0,0,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,100
201,0,0,100,0,0,0,0,0,0,0,0,0
202,0,0,0,0,0,0,0,0,0,0,0,100
203,0,0,0,0,0,0,0,0,0,0,0,100
204,0,0,0,0,0,0,0,0,0,0,0,100
205,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,100
207,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,100
211,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,100
215,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,100
217,0,0,0,100,100,0,0,0,0,0,0,100
218,0,0,0,0,0,0,0,0,0,0,0,100
219,0,0,0,0,0,0,0,0,0,0,0,100
220,0,0,0,0,0,0,0,0,0,0,0,100
221,0,0,0,0,0,0,0,0,0,0,0,100
222,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,0,0,100
225,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,0,0,0,0,0,0,0,100
227,0,0,0,0,0,0,0,0,0,0,0,100
228,0,0,0,0,0,0,0,0,0,0,0,100
229,0,0,0,0,0,0,0,0,0,0,0,100
230,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,100
232,0,0,0,0,0,0,0,0,0,0,0,100
233,0,0,100,0,0,0,0,0,0,100,100,100
234,0,0,0,0,0,0,0,0,0,0,0,100
235,0,0,0,0,0,0,0,0,0,0,0,100
236,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,100
239,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,100
242,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,100
244,0,0,0,0,0,0,0,0,0,0,0,100
245,0,0,0,0,0,0,100,0,0,0,0,100
246,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,100
248,0,0,0,0,0,0,0,0,0,0,0,100
249,0,0,0,0,0,0,0,0,0,0,0,100
250,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,100
253,0,0,0,0,0,0,0,0,0,0,0,100
254,0,0,0,0,0,0,0,0,0,0,0,100
255,0,0,100,0,0,0,0,100,100,100,100,100
256,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,0,0,0,0,0,0,100
258,0,0,0,0,0,0,0,0,0,0,0,100
259,0,0,0,0,0,0,0,0,0,0,0,100
260,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,100
262,0,0,0,0,0,0,0,0,0,0,0,100
263,0,0,0,0,0,0,0,0,0,0,0,100
264,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,100
267,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,100
269,0,0,0,0,0,0,0,0,0,0,0,100
270,0,0,0,0,0,0,0,0,0,0,0,100
271,0,0,0,0,0,0,0,0,0,0,0,100
272,0,0,0,0,0,0,0,0,0,0,0,0
273,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,100
275,0,0,0,0,0,0,0,0,0,0,0,100
276,0,0,0,0,0,0,0,0,0,0,0,100
277,100,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,100
280,0,0,0,0,0,0,0,0,0,0,0,100
281,0,0,0,0,0,0,0,0,0,0,0,100
282,0,0,0,0,0,0,0,0,0,0,0,100
283,0,0,0,0,0,0,0,0,0,0,0,100
284,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,100
286,0,0,0,0,0,0,0,0,0,0,0,0
287,0,0,0,0,0,0,0,0,0,0,0,100
288,0,0,0,0,0,0,0,0,0,0,0,100
289,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,100
292,0,0,0,0,0,0,0,0,0,0,0,100
293,0,0,0,0,0,0,0,0,0,0,0,0
294,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,100,100,0,0,0,0,0,0,100
301,0,0,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0,0,100
303,0,0,0,0,0,0,0,0,0,0,0,100
304,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,100
306,0,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,100
308,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,100
311,0,0,0,0,0,0,0,0,0,0,0,100
312,0,0,0,0,0,0,0,100,100,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,100
314,0,0,0,0,0,0,0,0,0,0,0,100
315,0,0,0,0,0,0,0,0,0,0,0,100
316,0,0,0,0,0,0,0,0,0,0,0,0
317,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,0,100,100,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,100,100,0,0,100
320,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,100
323,0,0,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0,0,100
325,0,0,0,0,0,0,0,0,0,0,0,100
326,0,0,0,0,0,0,0,0,0,0,0,100
327,0,0,0,0,0,0,0,0,0,0,0,100
328,0,0,0,0,0,0,0,0,0,0,0,100
329,0,0,0,100,100,0,0,0,0,0,0,100
330,0,0,0,0,0,0,0,0,0,0,0,100
331,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,100
334,0,0,100,0,0,0,0,100,100,100,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,100
337,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,100
339,0,0,0,0,0,0,0,0,0,0,0,100
340,0,0,0,0,0,0,0,0,0,0,0,100
341,0,0,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,100
346,0,0,0,0,0,0,0,0,0,0,0,100
347,0,0,0,0,0,0,0,0,0,0,0,0
348,0,0,100,0,0,0,100,0,0,100,0,0
349,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,100
353,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,100
355,0,0,0,0,0,0,0,0,0,0,0,100
356,0,0,0,0,0,0,0,0,0,0,0,100
357,0,0,0,0,0,0,0,0,0,0,0,100
358,0,0,0,0,0,0,0,0,0,0,0,100
359,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,100,100,0,0,0
361,0,0,0,0,0,0,0,0,0,0,0,100
362,0,0,0,0,0,0,0,0,0,0,0,0
363,0,0,0,0,0,0,0,0,0,0,0,100
364,0,0,0,0,0,0,0,0,0,0,0,100
365,0,0,0,0,0,0,0,100,100,0,0,100
366,0,0,0,0,0,0,0,0,0,0,0,100
367,0,0,0,0,0,0,0,0,0,0,0,100
368,100,0,0,0,0,0,0,0,0,0,0,0
369,0,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0,100
371,0,0,0,0,0,0,0,0,0,0,0,100
372,0,0,0,0,0,0,0,0,0,0,0,100
373,0,0,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,0
375,0,0,0,0,0,0,0,0,0,0,0,100
376,0,0,0,0,0,0,0,0,0,0,0,0
377,0,0,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0,0,100
379,0,0,0,0,0,0,0,0,0,0,0,100
380,0,0,0,0,0,0,0,0,0,0,0,100
381,0,0,0,0,0,0,0,0,0,0,0,100
382,0,0,0,0,0,0,0,0,0,0,0,0
383,0,0,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0,0,100
385,0,0,0,0,0,0,0,0,0,0,0,100
386,0,0,0,0,0,0,0,0,0,0,0,100
387,0,0,0,0,0,0,0,0,0,0,0,0
388,0,0,0,0,0,0,0,0,0,0,0,100
389,0,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,0,0,0,0,0,100
392,0,0,0,0,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0,100
394,0,0,0,0,0,0,0,0,0,0,0,0
395,0,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,100
397,0,0,0,0,0,0,0,0,0,0,0,100
398,0,0,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,100
400,0,0,0,0,0,0,0,100,100,0,0,0
401,0,0,0,0,0,0,0,0,0,0,0,0
402,0,0,0,0,0,0,0,0,0,0,0,100
403,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0,0
406,0,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0,100
409,0,0,0,0,0,0,0,0,0,0,0,100
410,0,0,0,0,0,0,0,0,0,0,0,0
